code_insee,commune,code_region,region,departement,log_rp,log_proprio,log_loc,log_hlm,log_sec,log_maison,log_appart,age_0_14,age_15_29,age_75p,femmes,chom,agric,indep,cadres,interm,empl,ouvr,etud,dipl_aucun,dipl_bepc,dipl_capbep,dipl_bac,dipl_sup2,dipl_sup34,dipl_sup,resid_sec,proprio,locataire,hlm,maison,appart
42071,Le Coteau,84,Auvergne-Rhône-Alpes,Loire,3548.99999999999,1691.74396423907,1830.03225974312,699.714464955193,64.5561187545254,1302.77722087948,2163.1558815332,13.36418885925178,14.61217441804476,18.9530977843906,56.415964755869354,17.544359428414563,0.18448394559512127,4.967824993095236,9.194846157881372,20.788535226917666,29.810295340331567,33.09066117504201,33.34852080745032,32.84316673356781,5.491988728620697,29.178715778222113,15.670331671217827,7.881009379733252,5.543751071072603,3.391036637565628,1.7864983034157487,47.66818721440053,51.56472977579952,19.71582037067329,36.70829024737908,60.951137828492705
42092,L'Étrat,84,Auvergne-Rhône-Alpes,Loire,1207.83429510011,768.882639161117,426.51947396251,163.531009075312,34.7513952308473,720.110232945673,486.767740463941,15.141883352319427,16.131747481408862,13.064301731660688,51.96113209986299,7.774302712461062,1.2147347988220383,6.073673994110201,22.675049578011468,32.39292796858778,23.88978437683346,13.766994386649767,57.71434507490032,12.839235931617294,4.226884046607523,23.056808673653585,18.09268600915859,13.182268250126802,12.063477955835634,16.53863913300046,2.796700098935746,63.65795724465574,35.312747426761746,13.539192399049895,59.6199524940619,40.30087094220121
42094,Feurs,84,Auvergne-Rhône-Alpes,Loire,4082.60144309312,2138.26992693268,1878.03624309034,527.393739497972,100.576122202156,2041.30072154656,2033.38486804565,14.629369422200678,14.947850848234125,16.827129954422865,53.613681954215345,11.11877426999901,0.15217192229866286,7.458043314126779,6.6955645811411575,20.99972527721549,28.151805625252642,32.624665503922714,33.92432587141954,31.296005831498608,6.472573141391467,27.441395318831386,14.571925319277765,8.411628650952627,5.668688036569464,6.137783701478644,2.4042996175099414,52.3751817741154,46.00096946194862,12.918080465341733,50,49.806107610276236
42095,Firminy,84,Auvergne-Rhône-Alpes,Loire,8086.82595935705,3796.49715400726,4169.21374198308,2453.33621769986,112.160626897641,2040.30872965223,5941.20369093873,17.475845876061655,17.225029641502974,15.904183039280378,54.27211818288357,17.648673666564658,0.1364652962201558,5.20105865626606,6.0632144119169284,23.175610084415037,34.557462609053005,28.708980592844746,39.534580224361584,29.974909382563386,6.054329191241088,31.117110136862884,16.82730305115553,7.917203389882155,5.13920312162451,2.969941726670713,1.3679815879400792,46.946690494982576,51.5556259394824,30.33744302189625,25.23003141042554,73.46768337538316
42097,La Fouillouse,84,Auvergne-Rhône-Alpes,Loire,1885.00000000001,1343.69819543801,508.905883576295,130.450060165726,28.2639019792648,1290.60557639552,590.35326284598,18.23222068157831,15.116319867406194,11.01010781227642,51.49019304311785,7.97024869326984,1.443849414746478,6.715837750929336,19.191109698721696,30.484788496297472,23.32016361238705,14.441382514043763,48.4085061469773,14.165254763425642,4.6342339427327035,27.21338727894255,19.149776733248242,13.230153263212935,10.969821755320378,10.637372263117404,1.477261027609717,71.28372389591527,26.997659606169357,6.92042759499869,68.46713933132696,31.318475482545193
42099,Fraisses,84,Auvergne-Rhône-Alpes,Loire,1649.00000000001,1130.42652433819,501.504129155282,293.310015076588,27.1116856256464,976.085255720647,670.895208510326,17.2868037122946,15.938154904924428,11.357516820235292,52.11078134466515,10.715699778155525,0,5.048968873770255,8.91441693096047,30.91491600223155,33.639052480866845,22.625528049225355,47.528607014484805,18.833071250301963,5.215006353169143,34.06744345995958,18.195780105155382,11.712756100813424,8.009203639410146,3.966739091190372,1.6175345508390861,68.55224526004748,30.412621537615458,17.787144637755382,59.19255644151856,40.68497322682365
42103,La Grand-Croix,84,Auvergne-Rhône-Alpes,Loire,1979,1111.81216843917,841.491634977104,514.391665742267,13.3394867176947,988.814999279416,981.949132615406,21.533439693513355,16.15142927886291,9.855414925034674,52.09613548699515,17.58116938792232,0.4738328844783913,6.136344187239326,9.227314561164205,22.461714674019138,30.029240221078563,30.274041518074814,42.596686890073,33.08806953965977,18.929985070926534,20.447724298020457,17.090020614216726,6.5175812519243,3.425850066869828,0.5007691583824466,0.6695388414788189,56.18050371092319,42.52105280328974,25.99250458525857,49.9653865224566,49.61845035954553
42110,L'Horme,84,Auvergne-Rhône-Alpes,Loire,1990.55145365574,1065.1108232585,902.329735175594,581.791666666669,11.3287349871149,936.493667242376,1046.01921416235,18.79825515913033,16.247964263773465,10.735766648909717,50.62756882635529,15.107186700747768,0,4.826577220686191,6.27455038689204,25.82218813067103,33.3033828227346,30.160317672370564,38.78167891923478,25.42610400058675,4.438481837135952,33.6728676854982,16.566213199513083,9.16513519790357,6.11991402403961,4.611284055322863,0.5659047455180146,53.50832912670379,45.330641090358334,29.227662796567333,47.046945986875244,52.549217566885154
42123,Lorette,84,Auvergne-Rhône-Alpes,Loire,1968,1177,752,433,13,1012,950,18.232280102476516,15.798462852263023,10.952177625960717,52.006831767719895,15.146831530139105,0.5151983513652756,5.4095826893353935,6.9551777434312205,26.275115919629055,34.518289541473465,27.04791344667697,36.607142857142854,25.839499146272054,4.496300512236767,33.63688104723961,17.131474103585656,8.708025042686398,6.118383608423449,4.069436539556062,0.6562342251388188,59.80691056910569,38.21138211382114,22.002032520325205,51.42276422764228,48.27235772357724
42127,Mably,84,Auvergne-Rhône-Alpes,Loire,3294.9999998918,2161.25920126366,1096.87354658317,761.631401708186,28.8640749931073,2494.16637057213,787.898804594662,17.03691059307067,11.86595055506562,13.922913498824801,52.70655000632417,16.549318007649553,0.8429562438335566,5.060126948740148,6.066118271961407,20.401525064243074,32.54651951507409,30.334504312136488,37.88705672153733,30.84500821476644,5.222597944301342,34.33154185818731,14.474602171976162,7.891232012156273,4.441804589367688,2.7932132092446764,0.8683891501822845,65.59208501774296,33.289030246409375,23.114761812843586,75.69548924594939,23.91195158180682
